Vocab,English definition
(めがねを)かける,to put on (glasses)
はは,(my) mother
かみ,hair
は,tooth
おしり,bottom; buttocks
まいねん／まいとし,every year
けいご,honorific expressions
ぶんがく,literature
さくぶん,composition
もじ,letter; character
かえる,to return
きこく,returning to one's country
きたく,returning home
かえり,return
はいる,to enter
いりぐち,entrance
いれる,to put something in
ゆにゅう,import
きょうこ,Kyoko
かいぎ,meeting
ふぼ,father and mother
ひとり,one person
よにん,four people
ごにん,five people
ろくにん,six people
はちにん,eight people
じゅうにん,ten people
おかあさん,mother
たかい,expensive; high
ちゅうがっこう,junior high school
まゆげ,eyebrows
みみ,ear
くび,neck
ゆび,finger
はな,nose
あたま,head
かた,shoulder
むね,chest
せなか,back (of body)
おなか,belly; stomach
あし,foot
はやい,fast
ふとっています,to be on the heavy side
やせる,to lose weight
けっこんする,to get married (～と)
きょうと,Kyoto
じょうきょうする,to go to the capital
しょうがくせい,elementary school student
～が,"..., but"
なにも,not...anything
～にん,[counter for people]
ひとり,one person
ふたり,two people
べつに,nothing in particular
もちろん,of course
よかったら,if you like
あう,to meet
かいしゃ,company
かいしゃいん,office worker
じんじゃ,shrine
にゅうしゃ,entry to a company
ちち,(my) father
おとうさん,father
そふ,grandfather
なんにん,how many people
ふたり,two people
しちにん／ななにん,seven people
きゅうにん,nine people
ぼご,mother tongue
そぼ,grandmother
こうこう,high school
こうこうせい,high school student
て,hand
おねえさん,older sister
おんなのひと,woman
かみ,hair
サークル,club activity
くるま,car
みじかい,short (length)
せがたかい,tall (stature)
せがひくい,short (stature)
べんり(な),convenient
うたう,to sing (～を)
かぶる,to put on (a hat) (～を)
はく,to put on (items below your waist) (～を)
しる,to get to know (～を)
しっています,I know
しりません,I do not know
すむ,to live (～に)
はたらく,to work
ふとる,to gain weight
きる,to put on (clothes above your waist) (～を)
やせています,to be thin
じょしがくせい,female student
おじいさん,grandfather; old man
おばあさん,grandmother; old woman
おにいさん,older brother
ちち,(my) father
はは,(my) mother
あに,(my) older brother
あね,(my) older sister
きょうだい,brothers and sisters; siblings
おとこのひと,man
かいしゃ,company
しょくどう,cafeteria; dining commons
デパート,department store
めがね,glasses
うた,song
ながい,long
あたまがいい,bright; smart; clever
かわいい,cute
しんせつ(な),kind
