Vocab,English definition
あるいて,on foot
～で,by (means of transportation); with (a tool)
うる,to sell
ばいてん,stand; stall
じゆうせき,general admission seat
おうふく,round trip
ちょうなん,the eldest son
せいかい,correct answer
はやく,(do something) early; fast
どのぐらい,how much; how long
～かげつ,for...months
じどうはんばいき,vending machine
かう,to buy
ばいばい,selling and buying
まち,town
きたやまちょう,Kitayama town
ちょうちょう,mayor of a town
ふつう,local train
とっきゅう,super express train
～いき,bound for...
～ほうめん,serving...areas
じょうしゃけん,(boarding) ticket
ていきけん,commuter's pass
がくわり,student discount
していせき,reserved seat
いちごうしゃ,Car No.1
かたみち,one way
こうつうけいICかーど,"rechargeable card such as Suica, Icoca, Pasmo, etc."
しゃちょう,company president
みち,way; road
しょどう,calligraphy
じゅうどう,judo
しんせつ,new snow
たつ,to stand
よなか,middle of night; midnight
こんや,tonight
よあけ,dawn
まもなくはっしゃします。,We will be leaving soon.
でんしゃがまいります。,A train is arriving.
つぎは～にとまります。,Next (we'll stop at)...
ドアがしまります。ごちゅういください。,The doors are closing. Please be careful.
このでんしゃはあきはばらにとまりますか。,Does this train stop at Akihabara?
しゅうでんはなんじですか。,What time is the last train.
とうきょうまでのしていせきをいちまいおねがいします。,"One reserved ticket to Tokyo, please."
がくわりがつかえますか。,Can I get a student discount?
もつ,to carry; to hold
もってくる,to bring
しょじひん,belongings
ふね,ship; boat
てぶくろ,gloves
つめたい,cold (things/people)
かんたん（な）,easy; simple
かかる,to take (amount of time/money)
なる,to become
きめる,to decide (～を)
ごろごろする,to chill out at home; to stay home and do nothing
りょこうする,to travel
いじゅうする,to immigrate
ただしい,right
とし,year
いちばん,best
どっち／どちら,which
どうやって,how; by what means
～しゅうかん,for...weeks
～ねん,...years
このごろ,these days
～ご,in...time; after...
～か～,or
ゆきだるま,snowman
～ばんせん,track number...
きっぷうりば,ticket vending area
かいさつ,gate
ホーム,platform
ばいてん,shop; stand
のりかえ,transfer
つぎは～,"next (stop),..."
せんぱつ,departing first
じはつ,departing second
こくりつだいがく,national university
しりつこうこう,private high school
きせつ,season
あき,fall
てんぷら,tempura
サッカー,soccer
ゆうめいじん,celebrity
ひこうき,airplane
よやく,reservation
どうぶつえん,zoo
びよういん,beauty parlor
あたたかい,warm
すずしい,cool (weather)
ねむい,sleepy
とまる,"to stay (at a hotel, etc) (～に)"
れんしゅうする,to practice (～を)
すむ,to live
じゅうしょ,address
おしょうがつ,New Year
ぎゅうにゅう,milk
ケーキ,cake
すし,sushi
りょうり,cuisine
としうえ,someone older
しんかんせん,Shinkansen; Bullet Train
ツアー,tour
せかい,world
おそい,slow; late
