Vocab,English definition
いつつ,five
ななつ,seven
やっつ,eight
しろい,white
あかい,red
あおい,blue
きいろい,yellow
ちゃいろい,brown
みどり／---,green
むらさき,purple
こんいろ,navy blue
はいいろ／---,gray
みずいろ,light blue
きんいろ／---,gold
ぎんいろ／---,silver
ピンク,pink
オレンジ,orange
ベージュ,beige
いえ,house
うち,house; home
さっか,author
はなす,to speak
かいわ,conversation
すこし,little
すくない,few
しょうしょう,a little
しょうじょ,girl
しょうねん,boy
あかいかばん,red bag
でる,to appear; to attend (～に); to exit (～を)
あとで,later
～まで,to (a place/a time)
ところで,by the way
なまえ,name
しめい,full name
はくし,blank sheet
しろ,white color
ひとつ,one
みっつ,three
よっつ,four
むっつ,six
ここのつ,nine
とお,ten
かく,to write
ともだち,friend
ゆうじん,friend (formal)
じかん,time
にじかん,two hours
あいだ,between
にんげん,human being
あかがいちばん好きです。,I like red the best.
みどりのセーター／グリーンのセーター,green sweater
かおがあおいですね。,You look pale.
しろくろのしゃしん,black and white picture
あおしんごう,green light
ふるい,old (for things)
ちゅうこ,secondhand
こだい,ancient times
しる,to know
ちじん,acquaintance (formal)
しりあい,acquaintance
くる,to come
きます,to come (long-form)
こない,not to come
らいにち,visit to Japan
いろいろおせわになりました。,Thank you for everything.
からだにきをつけてください。,Please take care of yourself.
おあいできるをたのしみにしています。,I am looking forward to seeing you.
～おめでとう（ございます）。,Congratulations on...
（お）たんじょうびおめでとう。,Happy Birthday.
コンサート,concert
かぶき,Kabuki; traditional Japanese theatrical art
スキー,ski
しろい,white
さびしい,lonely
いじわる(な),mean-spirited
にんきがある,to be popular
もらう,to get (from somebody) (person に thing を)
うんどうする,to exercise
さんぽする,to take a walk
ごぜん,A.M.
～のあと,after...
うしろ,back; behind
なまえ,name
～から,from...
ぜひ,by all means
みんな,all
もう,already
めいし,name card
しろい,white
うき,rainy season
つゆ,rainy season (East Asia)
おおあめ,heavy rain
ふたつ,two
たんご,word; vocabulary
さくぶん,essay; composition
てがみ,letter
メール,e-mail
ギター,guitar
ピアノ,piano
おべんとう,boxed lunch
ピザ,pizza
びょうき,illness; sickness
くすり,medicine
いいこ,good child
いろ,color
こんど,near future
あおい,blue
あかい,red
おどる,to dance
おわる,(something) ends (～が)
くすりをのむ,to take medicine
はじまる,(something) begins (～が)
ひく,to play (a string instrument or piano) (～を)
おぼえる,to memorize (～を)
ごご,P.M.; in the afternoon
しょうご,noon
まえ,before; front
まえうり,advance sale
そう,(I think) so
ゆうめいな,famous
チケット,ticket
