Vocab,English definition
りょこう,travel
しょくじ,meal
おがわさん,Mr./Ms. Ogawa
きもち,feeling
わたし,I
おんなのひと,woman (kun-yomi)
じょせい,woman (on-yomi)
おんなのこ,girl
ちょうじょ,the eldest daughter
おとこのひと,man (kun-yomi)
だんせい,man (on-yomi)
おとこのこ,boy
だんしがくせい,male student
みる,to see
けんぶつ,sightseeing
いく,to go
いちぎょうめ,first line
たべる,to eat
ちょうしょく,breakfast
のむ,to drink
いんしゅうんてん,drunken driving
おおきい,large
やる,to do; to perform (～を)
やま,mountain
やまかわさん,Mr./Ms. Yamakawa
ふじさん,Mt. Fuji
かわ,river
げんきな,fine
がんじつ,the first day of the year
じもと,local
いっしょに,together
すごく,extremely
だいじょうぶ,It's okay.; Not to worry.; Everything is under control.
とても,very
どんな,what kind of...
げんきな,fine
てんき,weather
でんき,electricity
にんき,popularity
てんごく,heaven
てんのう,Japanese emperor
てんさい,genius
しりつだいがく,private university
いま,now
たなかさん,Mr./Ms. Tanaka
やまださん,Mr./Ms. Yamada
たんぼ,rice field
ぼく,I (used by men)
いそがしい,busy (people/days)
おもしろい,interesting; funny
つまらない,boring
きく,to ask (person に)
のる,to ride; to board (～に)
でかける,to go out
テスト,test
たんじょうび,birthday
エルサイズ,size L; large size
あたらしい,new
ふるい,old (thing)
あつい,hot (weather)
さむい,cold (weather)
あつい,hot (thing)
ちいさい,small
やさしい,easy (problem); kind (person)
むずかしい,difficult
かっこいい,good-looking (conjugates like いい)
こわい,frightening
やすい,inexpensive; cheap (thing)
すき（な）,fond of; to like (～が)
きらい（な）,disgusted with; to dislike (～が)
だいすき（な）,very fond of; to love (～が)
だいきらい（な）,to hate (～が)
きれい（な）,beautiful; clean
げんき（な）,healthy; energetic
しずか（な）,quiet
にぎやか（な）,lively
ひま（な）,not busy; free (time)
およぐ,to swim
やすみ,holiday; day off; absence
りょこう,travel
サーフィン,surfing
おみやげ,souvenir
バス,bus
てんき,weather
