Vocab,English definition
みぎがわ,right side
せんぱい,senior member
がくせい,student
うまれる,to be born
だいがくせい,college student
たいへんな,tough
くに,country
かんこく,South Korea
ほくせい,northwest
ほっきょく,North Pole
じんこう,population
でる,to exit
だす,to take something out
しゅっせき,attendance
まっすぐいく,go straight
みぎにまがる,turn right
みちをわたる,cross the street
ふたつめのかどをひだりにまがる,turn left at the second corner
ひとつめのしんごうをみぎにまがる,turn right at the first traffic light
みちのひだりがわ,left side of the street
みちのみぎがわ,right side of the street
きた,north
ひがし,east
みなみ,south
にし,west
みぎ,right
うせつ,right turn
さゆう,right and left
みぎて,right hand
ひだり,left
させつ,left turn
ひだりて,left hand
ひだりきき,left-handed
ごふん,five minutes
じゅっぷん／じっぷん,ten minutes
わける,to divide
せんせい,teacher
さきに,ahead
いっしょうにいちど,once in a life time
おおきい,big
だいがく,university
がくせい,student
まなぶ,to study
がくぶ,department; faculty
がいこく,foreign country
こっかい,the Diet
てつだう,to help (person/task を)
かりる,to borrow (person に thing を)
つれてくる,to bring (a person) (～を)
かんとう,Kanto area
にしぐち,west exit
かんさい,Kansai area
せいよう,the West
なんきょく,Antarctica
とうなんアジア,Southeast Asia
あとで,later on
すぐ,right away
ゆっくり,slowly; leisurely; unhurriedly
けっこうです,That would be fine.; That wouldn't be necessary.
ほんとうですか,Really?
きた,north
きたぐち,north exit
とうほく,Tohoku area
くち,mouth
いりぐち,entrance
でぐち,exit
ゆしゅつ,export
みちをきく,to ask for directions; to ask the way
ひだりにまがる,turn left
シャワー,shower
けす,to turn off; to erase (～を)
すわる,to sit down (seat に)
たつ,to stand up
たばこをすう,to smoke
つかう,to use (～を)
はいる,to enter (～に)
もつ,to carry; to hold (～を)
やすむ,(1) to be absent (from...) (～を); (2) to rest
あける,to open (something) (～を)
しめる,to close (something) (～を)
おしえる,to teach; to instruct (person に thing を)
わすれる,to forget; to leave behind (～を)
おりる,to get off (～を)
シャワーをあびる,to take a shower
つける,to turn on (～を)
でんわする,to call (～に)
もってくる,to bring (a thing) (～を)
ひがし,east
ひがしぐち,east exit
とうきょう,Tokyo
にし,west
みなみ,south
みなみぐち,south exit
なんとう,southeast
ページ,page
かえす,to return (a thing) (person に thing を)
かんじ,kanji; Chinese character
つぎ,next
にもつ,baggage
パソコン,personal computer
エアコン,air conditioner
でんき,electricity; light
まど,window
でんしゃ,train
くに,country; place of origin
よる,night
たいへん（な）,tough (situation)
あそぶ,to play; to spend time pleasantly
