Vocab,English definition
つり,fishing
みずうみ,lake
ホストファミリー,host family
おもちゃ,toy
こちら,this person (polite)
うそをつく,to tell a lie
かう,to own (a pet) (～を)
サボる,to cut (classes) (～を)
とる,to take (a class); to get (a grade) (～を)
ならう,to learn (～を)
おんせん,spa; hot spring
キャンプ,camp
ドライブ,drive
びじゅつかん,art museum
しゃちょう,president of a company
かしゅ,singer
ルームメート,roommate
しょうらい,future
ゆめ,dream
おまつり,festival
おしょうがつ,New Year's
おかし,snack; sweets
ビール,beer
こんがっき,this semester
らいがっき,next semester
おなかがすく,to become hungry
のぼる,to climb (place に)
つかれる,to get tired
やめる,to quit
けんかする,to have a fight; to quarrel
しょうかいする,to introduce (person に person を)
ダイエットする,to go on a diet
ちこくする,to be late (for an appointment) (～に)
りゅうがくする,to study abroad (place に)
しゅっしん,coming from (place の)
ひさしぶり,it has been a long time
まあまあ,okay; so-so
もっと,more
あと,after (an event) (event の)
そして,and then
～だけ,just...; only...
～てん,...points
しゅわ,sign language
しょくぎょう,occupation; business
さっか,writer
ジャーナリスト,journalist
うちゅうひこうし,astronaut
まんがか,cartoonist
きんじょ,neighborhood
ちゅうきんとう,the Middle and Near East
あかるい,cheerful; bright
せつめい,explanation
ぶんめい,civilization
びょうき,illness
じゅうびょう,serious illness
きゅうびょう,sudden illness
どちらでもいいです。,Both are fine.
おなじです。,Same thing.
だいたいおなじです。,More or less the same.
ちょっとちがいます。,A little different.
つかえません。,Can't use it.
だめです。,No good.
てをあげてください。,Raise your hand.
かしゅ,singer
わし,Japanese paper
おりがみ,origami
すきな,to like
だいすきな,to love
こうい,goodwill
このみ,liking; taste
こうぶつ,favorite food
けいさつかん,police officer
しょうぼうし,firefighter
きょうし,school teacher
スポーツせんしゅ,athlete
だいとうりょう,president of a country
はいゆう,actor; actress
かんごし,nurse
シェフ,chef
ちかく,near; nearby
よんできてください。,Read it before coming to class.
しゅくだいをだしてください。,Hand in the homework.
10ページをひらいてください。,Open the book to page 10.
きょうかしょをとじてください。,Close the textbook.
となりのひとにきいてください。,Ask the person sitting next to you.
やめてください。,Please stop.
きょうはこれでおわります。,That's it for today.
うつる,to be reflected
がか,painter
まんが,comic
うたう,to sing
かしゅ,singer
こっか,national anthem
かぶき,Kabuki
かし,lyrics
しめきり,deadline
れんしゅう,practice; (an) exercise
こたえ,answer
れい,example
かっこ,( ) (parenthesis)
まる,〇 (correct)
ばつ,✕ (wrong)
かわぐちし,Kawaguchi City
しやくしょ,city hall
しちょう,mayor
いろいろなところ,various places
きんじょ,neighborhood
べんきょうする,to study
つとめる,to try hard
きんべんな,diligent
くだけたいいかた,colloquial expression
かたいいいかた,bookish expression
ていねいないいかた,polite expression
きょうつうご,common language
たとえば,for example
ほかに,anything else
～ばん,number
～ぎょうめ,line number
ふたりずつ,two people each
べんきょうする,to study
ごうじょうな,obstinate
ごうとう,robbery
きょうりょくな,powerful
ゆうりょう,toll; fee
ある,to exist
ゆうのうな,talented
ひとりたび,traveling alone
りょけん,passport
